character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Falco,1,623,1,9613,4.5,28.1,0.6,0.8,30,28,4,0
Fox,1,618,0,11347,10.5,13.4,0.5,0.5,84,13,7,9
Fox,3,436,0,9391,17,11.6,0.4,0.4,121,9,6,6
Fox,1,550,1,13002,4.8,23.4,0.5,0.6,99,43,16,5
Fox,2,491,1,6028,3.8,26.6,0.8,0.7,27,7,4,9
Jigglypuff,2,474,1,13174,4.8,20,0.4,0.4,20,8,6,18
Falco,0,409,0,11013,6.3,22.7,0.5,0.6,23,11,6,3
Fox,1,542,1,10957,4.8,23.5,0.6,0.6,78,50,8,9
Fox,0,357,0,12427,7,13.7,0.4,0.5,10,48,9,6
Fox,2,386,0,10009,9.5,15.3,0.4,0.4,38,17,4,9
Marth,1,92,0,8115,0,4.9,0.3,0.1,0,0,1,0
Marth,1,398,0,15365,6.7,24.3,0.4,0.6,85,19,25,23
Fox,0,114,0,8436,8,6.8,0.3,0.1,0,0,2,0
Fox,0,513,1,7900,5.3,22.8,0.6,0.5,56,26,7,11
Fox,2,549,0,11287,8.3,15.1,0.5,0.4,60,27,7,4
Fox,1,493,0,9555,6,24.3,0.2,0.6,75,17,5,12
Fox,2,569,0,7851,6.3,23.5,0.5,0.7,37,35,5,9
Fox,1,107,0,14276,4,8.2,0.3,0.3,0,0,4,0
Falco,0,392,0,9959,20,12.7,0.5,0.5,8,13,8,4
Fox,0,461,1,9593,5.3,17.3,0.6,0.6,43,31,17,19
Falco,2,451,0,7932,8,15.8,0.4,0.5,1,4,3,0
Falco,2,447,0,9367,7.3,22.2,0.6,0.6,3,8,5,2
Falco,0,407,0,3537,11,14.9,0.6,0.4,14,3,2,2
Marth,2,352,1,7468,3.8,17.7,0.5,0.5,22,24,13,11
Fox,0,379,0,7593,7,31.2,0.4,0.7,39,13,7,4
Falco,0,496,1,8136,4.3,21.2,0.5,0.6,21,9,6,2
Fox,1,616,1,9423,6,17.3,0.6,0.5,28,41,12,7
Falco,0,560,1,6696,5,16.9,0.7,0.5,12,7,0,6
Jigglypuff,0,267,1,4142,2.3,49.4,0.8,0.7,1,2,1,3
Fox,0,353,1,9067,3.8,13.6,0.4,0.4,22,9,3,6
Fox,1,411,0,9205,7.5,17.7,0.6,0.5,76,18,4,6
Falco,1,399,1,9097,5.5,23.8,0.7,0.7,24,8,7,5
Jigglypuff,0,465,0,10122,4.7,20.8,0.4,0.5,9,21,6,16
Jigglypuff,0,649,0,9276,4.7,18.2,0.6,0.4,6,4,3,5
Jigglypuff,0,570,0,2287,0,10.5,0.4,0.3,1,3,1,2
Falco,3,486,0,6196,10,16,0.5,0.5,41,7,5,2
